Dbase,Accession Number,Name,Taxon,Species,Sex,Maturity,Date Admitted,Date_Admit,AdmitYr,AdmitMo, Rescue Location,Suburb,Jurisdiction,Cause of Affliction, Categories,Anatomical,Aetiological,Updated Anatomical, Updated Aetiological,Status,Status Date,Status Date2,StatusYr,StatusMo,,,,
EzyVet,153921,Silk,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown Sex,adult,2025-09-10,10/9/2025,2025,Sep,Mudjimba Beach ,MUDJIMBA,Sunshine Coast Regional Council,beach stranding,infection/disease,metabolic/nutritional,emaciation/exhaustion,,,died in hospital,11/09/2025,11/9/2025,2025,Sep,,,,
EzyVet,154001,Broggo,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,adult,2025-09-09,9/9/2025,2025,Sep,Mudjimba,MUDJIMBA,Sunshine Coast Regional Council,beach stranding,infection/disease,git - metabolic/nutritional,gastro-intestinal: other - emaciation/exhaustion,,,euthanised,10/09/2025,10/9/2025,2025,Sep,,,,
EzyVet,153884,Kaura,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,juvenile,2025-09-07,7/9/2025,2025,Sep,Kawana Street,MOOLOOLABA,Sunshine Coast Regional Council,beach stranding,infection/disease,haematopoletic,anaemia: other,,,died in hospital,7/9/2025,7/9/2025,2025,Sep,,,,
EzyVet,153902,Marshall,Reptile - Snake - Marine,Elegant Sea Snake,Female,juvenile,2025-09-07,7/9/2025,2025,Sep,Beachway Parade,MARCOOLA,Sunshine Coast Regional Council,beach stranding,infection/disease,metabolic/nutritional,emaciation/exhaustion,,,died in hospital,08/09/2025,8/9/2025,2025,Sep,,,,
EzyVet,153901,Marley,Reptile - Snake - Marine,Olive-Headed Sea Snake,Male,sub adult,2025-09-07,7/9/2025,2025,Sep,Beachway Parade,MARCOOLA,Sunshine Coast Regional Council,beach stranding,infection/disease,metabolic/nutritional,emaciation/exhaustion,,,died in hospital,08/09/2025,8/9/2025,2025,Sep,,,,
EzyVet,153650,Marc,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown Sex,juvenile,2025-09-07,7/9/2025,2025,Sep,Beachway Parade,MARCOOLA,Sunshine Coast Regional Council,beach stranding,infection/disease,metabolic/nutritional,emaciation/exhaustion,,,euthanised,7/9/2025,7/9/2025,2025,Sep,,,,
EzyVet,153858,King,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,juvenile,2025-09-06,6/9/2025,2025,Sep,Levuka Avenue,KINGS BEACH,Sunshine Coast Regional Council,beach stranding - natural predation,trauma,musculoskeletal,soft tissue injury,,,died in hospital,09/09/2025,9/9/2025,2025,Sep,,,,
EzyVet,153649,Luke,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown Sex,sub adult,2025-09-06,6/9/2025,2025,Sep,Marcoola Esplanade,MARCOOLA,Sunshine Coast Regional Council,beach stranding,nad,nad,nad,,,died in hospital,7/9/2025,7/9/2025,2025,Sep,,,,
EzyVet,153476,Heather,Reptile - Snake - Marine,Elegant Sea Snake,Female,sub adult,2025-08-24,24/8/2025,2025,Aug,Mudjimba Beach Road,MUDJIMBA,Sunshine Coast Regional Council,beach stranding,infection/disease,metabolic/nutritional,emaciation/exhaustion,,,in hospital,,,,,,,,
EzyVet,153282,Ridley,Reptile - Snake - Marine,Olive-Headed Sea Snake,Female,adult,2025-08-24,24/8/2025,2025,Aug,Teewah Beach Road,NOOSA NORTH SHORE,Sunshine Coast Regional Council,overt signs of disease,infection/disease,ocular,eye injury,,,euthanised,25/08/2025,25/8/2025,2025,Aug,,,,
